Monthly Income,Rent/Housing,Food & Groceries,Entertainment & Shopping,Travel & Transport,Savings/Investments,Financial Wellness Category,Personalized Recommendation
51910.0,12619.0,9657.0,2951.0,4576.0,12072.0,,Excellent! Consider investments for growth.
153052.0,37207.0,28473.0,8701.0,13492.0,1564.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
162386.0,132389.8063881891,30209.0,9231.0,14315.0,60319.0,Thriving,Excellent! Consider investments for growth.
106231.0,25825.0,19762.0,6039.0,9365.0,32106.0,Thriving,Excellent! Consider investments for growth.
32087.0,7800.0,5969.0,1824.0,,3915.0,Stable,You're on track! Try to boost savings gradually.
198486.0,48253.0,36925.0,11284.0,17498.0,38073.0,Stable,You're on track! Try to boost savings gradually.
162202.0,39432.0,30175.0,9221.0,14299.0,35875.0,Thriving,Excellent! Consider investments for growth.
154633.0,37592.0,28767.0,8790.0,13632.0,40495.0,Thriving,Excellent! Consider investments for growth.
145991.0,35491.0,27159.0,8299.0,12870.0,32504.0,Thriving,Excellent! Consider investments for growth.
110373.0,26832.0,20533.0,6274.0,9730.0,23105.0,Thriving,Excellent! Consider investments for growth.
44089.0,10718.0,8202.0,2506.0,3886.0,9681.0,Thriving,Excellent! Consider investments for growth.
98229.0,23880.0,18274.0,5584.0,8659.0,36121.0,Thriving,Excellent! Consider investments for growth.
141673.0,34441.0,26356.0,8054.0,12489.0,48840.0,Thriving,Excellent! Consider investments for growth.
66163.0,16084.0,12308.0,3761.0,5832.0,,Thriving,Excellent! Consider investments for growth.
88148.0,21429.0,16398.0,5011.0,7770.0,1517.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
85953.0,20895.0,15990.0,4886.0,7577.0,20517.0,Thriving,Excellent! Consider investments for growth.
141101.0,34302.0,26250.0,8021.0,12439.0,27517.0,Stable,You're on track! Try to boost savings gradually.
104291.0,25353.0,19402.0,,9194.0,22127.0,Thriving,Excellent! Consider investments for growth.
98953.0,24056.0,18408.0,5625.0,8723.0,34166.0,Thriving,Excellent! Consider investments for growth.
61427.0,14933.0,11427.0,,5415.0,18699.0,Thriving,Excellent! Consider investments for growth.
193540.0,47050.0,36005.0,11002.0,17062.0,61800.0,Thriving,Excellent! Consider investments for growth.
23890.0,5807.0,4444.0,1358.0,2106.0,27784.452599224944,At Risk,Critical: Immediate spending review needed. Focus on necessities.
45122.0,10969.0,8394.0,2565.0,3977.0,35.0,,Critical: Immediate spending review needed. Focus on necessities.
54636.0,13282.0,10164.0,3106.0,4816.0,19139.0,,Excellent! Consider investments for growth.
123727.0,30078.0,23017.0,7033.0,10907.0,45551.0,Thriving,Excellent! Consider investments for growth.
,27514.0,21055.0,6434.0,9977.0,33443.0,Thriving,Excellent! Consider investments for growth.
82032.0,19942.0,,4663.0,7231.0,31045.0,Thriving,Excellent! Consider investments for growth.
29752.0,7232.0,5534.0,1691.0,2622.0,785.0,,Critical: Immediate spending review needed. Focus on necessities.
,18614.0,14244.0,4353.0,6750.0,13650.0,Stable,You're on track! Try to boost savings gradually.
,9522.0,7286.0,2226.0,3453.0,8174.0,Thriving,Excellent! Consider investments for growth.
199785.0,48568.0,37167.0,11357.0,17612.0,40483.0,Thriving,Excellent! Consider investments for growth.
101816.0,24752.0,18941.0,5788.0,8975.0,23740.0,Thriving,Excellent! Consider investments for growth.
41727.0,10144.0,7762.0,2372.0,3678.0,10713.0,Thriving,Excellent! Consider investments for growth.
116044.0,28210.0,21588.0,6597.0,10230.0,44500.0,Thriving,Excellent! Consider investments for growth.
166389.0,40450.0,30954.0,9459.0,14668.0,55103.0,Thriving,Excellent! Consider investments for growth.
82623.0,20086.0,15370.0,4697.0,7283.0,14564.0,Stable,You're on track! Try to boost savings gradually.
103986.0,25279.0,19345.0,5911.0,9167.0,,,Excellent! Consider investments for growth.
123033.0,29910.0,22888.0,6994.0,10846.0,36997.0,Thriving,Excellent! Consider investments for growth.
39033.0,9489.0,7261.0,2219.0,3441.0,992.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
124573.0,30284.0,23175.0,7082.0,10982.0,26994.0,Thriving,Excellent! Consider investments for growth.
142721.0,34696.0,26551.0,8113.0,12581.0,51029.0,Thriving,Excellent! Consider investments for growth.
197235.0,47949.0,36693.0,11212.0,17387.0,22074.0,Stable,You're on track! Try to boost savings gradually.
53039.0,12894.0,9867.0,3015.0,4675.0,20353.0,Thriving,Excellent! Consider investments for growth.
196313.0,47724.0,36521.0,11160.0,17306.0,45795.0,Thriving,Excellent! Consider investments for growth.
61786.0,15020.0,11494.0,3512.0,5446.0,13370.0,Thriving,Excellent! Consider investments for growth.
173728.0,42234.0,32319.0,9876.0,15315.0,39575.0,Thriving,Excellent! Consider investments for growth.
130687.0,31770.0,24312.0,7429.0,11521.0,18124.0,Stable,You're on track! Try to boost savings gradually.
183273.0,44554.0,34095.0,10419.0,16156.0,9103.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
188048.0,45715.0,34984.0,10690.0,16577.0,37824.0,Thriving,Excellent! Consider investments for growth.
22693.0,5516.0,4221.0,,2000.0,5588.0,Thriving,Excellent! Consider investments for growth.
132561.0,32226.0,24661.0,7536.0,11686.0,7924.0,Stable,You're on track! Try to boost savings gradually.
84288.0,20490.0,15680.0,4791.0,7430.0,11908.0,Stable,You're on track! Try to boost savings gradually.
146503.0,35615.0,27255.0,8328.0,12915.0,47563.0,Thriving,Excellent! Consider investments for growth.
165788.0,40304.0,30842.0,9425.0,14615.0,40651.0,Thriving,Excellent! Consider investments for growth.
33545.0,8154.0,6240.0,1907.0,2957.0,10232.0,Thriving,Excellent! Consider investments for growth.
144243.0,35066.0,,8200.0,12716.0,48861.0,Thriving,Excellent! Consider investments for growth.
88244.0,21452.0,16416.0,5016.0,7779.0,32846.0,Thriving,Excellent! Consider investments for growth.
63585.0,15457.0,11829.0,3614.0,5605.0,18364.0,Thriving,Excellent! Consider investments for growth.
56212.0,13665.0,10457.0,3195.0,4955.0,18979.0,Thriving,Excellent! Consider investments for growth.
66843.0,16249.0,12435.0,,5892.0,2121.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
176683.0,42952.0,,10044.0,15575.0,33868.0,Stable,You're on track! Try to boost savings gradually.
59279.0,14411.0,11028.0,3370.0,5225.0,12834.0,Thriving,Excellent! Consider investments for growth.
62534.0,15202.0,11633.0,3555.0,5512.0,19719.0,Thriving,Excellent! Consider investments for growth.
188011.0,45706.0,34977.0,10688.0,16574.0,41570.0,Thriving,Excellent! Consider investments for growth.
131472.0,31961.0,24458.0,7474.0,11590.0,3947.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
166400.0,40452.0,30956.0,9459.0,14669.0,55197.0,Thriving,Excellent! Consider investments for growth.
24703.0,6005.0,4595.0,1404.0,2177.0,5048.0,Thriving,Excellent! Consider investments for growth.
153533.0,37324.0,28562.0,8728.0,13535.0,36907.0,Thriving,Excellent! Consider investments for growth.
109045.0,26509.0,20286.0,6199.0,9613.0,22911.0,Thriving,Excellent! Consider investments for growth.
141958.0,34510.0,26409.0,8070.0,12514.0,50890.0,Thriving,Excellent! Consider investments for growth.
105431.0,25630.0,19614.0,5993.0,9294.0,29890.0,Thriving,Excellent! Consider investments for growth.
85160.0,20702.0,15842.0,4841.0,7507.0,30809.0,Thriving,Excellent! Consider investments for growth.
55954.0,13602.0,10409.0,3181.0,4932.0,13473.0,Thriving,Excellent! Consider investments for growth.
106900.0,25988.0,19887.0,6077.0,9424.0,8173.0,,You're on track! Try to boost savings gradually.
96218.0,23391.0,17900.0,5470.0,8482.0,21846.0,Thriving,Excellent! Consider investments for growth.
199917.0,48601.0,37192.0,11365.0,17624.0,67684.0,Thriving,Excellent! Consider investments for growth.
25906.0,,4819.0,1472.0,2283.0,7846.0,Thriving,Excellent! Consider investments for growth.
45934.0,11166.0,8545.0,2611.0,4049.0,17621.0,Thriving,Excellent! Consider investments for growth.
65002.0,15802.0,12092.0,3695.0,5730.0,24380.0,Thriving,Excellent! Consider investments for growth.
26295.0,6392.0,4891.0,1494.0,,1718.0,Stable,You're on track! Try to boost savings gradually.
175331.0,42624.0,32618.0,9967.0,15456.0,39942.0,Thriving,Excellent! Consider investments for growth.
191836.0,,35688.0,10905.0,16911.0,39254.0,Thriving,Excellent! Consider investments for growth.
85725.0,20840.0,15948.0,4873.0,7557.0,31712.0,Thriving,Excellent! Consider investments for growth.
170262.0,41391.0,31675.0,9679.0,15009.0,63113.0,Thriving,Excellent! Consider investments for growth.
167603.0,40745.0,31180.0,9528.0,14775.0,,Thriving,Excellent! Consider investments for growth.
61090.0,14851.0,11365.0,3472.0,5385.0,,Thriving,Excellent! Consider investments for growth.
,,37070.0,11328.0,17566.0,6268.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
116044.0,28210.0,21588.0,6597.0,10230.0,44500.0,Thriving,Excellent! Consider investments for growth.
104717.0,25457.0,19481.0,5953.0,9231.0,12399.0,,You're on track! Try to boost savings gradually.
148148.0,36015.0,27561.0,8422.0,13060.0,43691.0,Thriving,Excellent! Consider investments for growth.
76088.0,18497.0,,4325.0,6707.0,22249.0,Thriving,Excellent! Consider investments for growth.
177364.0,43118.0,32996.0,10083.0,15636.0,54240.0,Thriving,Excellent! Consider investments for growth.
75318.0,18310.0,14011.0,4281.0,6639.0,19593.0,Thriving,Excellent! Consider investments for growth.
158311.0,38486.0,29451.0,9000.0,13956.0,14669.0,Stable,You're on track! Try to boost savings gradually.
52265.0,12705.0,9723.0,2971.0,4607.0,10816.0,Thriving,Excellent! Consider investments for growth.
40056.0,9737.0,7451.0,2277.0,3531.0,833.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
,15539.0,11891.0,3633.0,5634.0,12036.0,Stable,You're on track! Try to boost savings gradually.
33669.0,8185.0,6263.0,1914.0,2968.0,3906.0,Stable,You're on track! Try to boost savings gradually.
152632.0,37105.0,28395.0,8677.0,13455.0,60121.0,Thriving,Excellent! Consider investments for growth.
95932.0,23321.0,17846.0,5453.0,8457.0,3241.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
117007.0,28445.0,21767.0,6651.0,10315.0,,Stable,You're on track! Try to boost savings gradually.
53848.0,13090.0,10017.0,3061.0,4747.0,4611.0,Stable,You're on track! Try to boost savings gradually.
,27336.0,20919.0,6392.0,9913.0,40105.0,Thriving,Excellent! Consider investments for growth.
56062.0,13629.0,10429.0,3187.0,4942.0,21269.0,Thriving,Excellent! Consider investments for growth.
81877.0,19904.0,15232.0,4654.0,7218.0,8196.0,Stable,You're on track! Try to boost savings gradually.
59353.0,14429.0,11041.0,3374.0,5232.0,21258.0,Thriving,Excellent! Consider investments for growth.
83230.0,20233.0,15483.0,4731.0,7337.0,15781.0,Stable,You're on track! Try to boost savings gradually.
118506.0,28809.0,,6737.0,10447.0,31925.0,Thriving,Excellent! Consider investments for growth.
39963.0,9715.0,7434.0,2271.0,3523.0,11614.0,Thriving,Excellent! Consider investments for growth.
191230.0,46489.0,35576.0,10871.0,16858.0,235649.67833706524,At Risk,Critical: Immediate spending review needed. Focus on necessities.
159892.0,38870.0,29745.0,9089.0,,217892.63115368693,Thriving,Excellent! Consider investments for growth.
178768.0,43459.0,,10163.0,15759.0,49586.0,Thriving,Excellent! Consider investments for growth.
124131.0,30176.0,23093.0,7056.0,10943.0,30517.0,Thriving,Excellent! Consider investments for growth.
59749.0,14525.0,11115.0,3396.0,5267.0,133.0,,Critical: Immediate spending review needed. Focus on necessities.
77134.0,18751.0,14349.0,4385.0,6799.0,25537.0,Thriving,Excellent! Consider investments for growth.
105457.0,25637.0,19618.0,5995.0,9296.0,,At Risk,Critical: Immediate spending review needed. Focus on necessities.
38658.0,9397.0,7191.0,2197.0,3408.0,,Thriving,Excellent! Consider investments for growth.
118317.0,28763.0,22011.0,6726.0,10430.0,36277.0,Thriving,Excellent! Consider investments for growth.
103457.0,25151.0,19246.0,5881.0,9120.0,38017.0,Thriving,Excellent! Consider investments for growth.
110084.0,26762.0,20479.0,6258.0,9704.0,30594.0,Thriving,Excellent! Consider investments for growth.
105999.0,25768.0,19719.0,6026.0,9344.0,40766.0,,Excellent! Consider investments for growth.
96971.0,23574.0,18040.0,5512.0,8548.0,21574.0,Thriving,Excellent! Consider investments for growth.
58000.0,14100.0,10790.0,3297.0,5113.0,21739.0,Thriving,Excellent! Consider investments for growth.
177087.0,43050.0,32944.0,10067.0,15611.0,,Stable,You're on track! Try to boost savings gradually.
63525.0,15443.0,11818.0,,5600.0,14693.0,Thriving,Excellent! Consider investments for growth.
182082.0,44265.0,33874.0,10351.0,16051.0,10264.0,Stable,You're on track! Try to boost savings gradually.
176104.0,42811.0,32761.0,10011.0,15524.0,29702.0,Stable,You're on track! Try to boost savings gradually.
169340.0,145606.59596999685,31503.0,9627.0,14928.0,59959.0,Thriving,Excellent! Consider investments for growth.
154461.0,37550.0,28735.0,,13616.0,49097.0,Thriving,Excellent! Consider investments for growth.
131317.0,31923.0,24429.0,7465.0,11576.0,47186.0,Thriving,Excellent! Consider investments for growth.
185575.0,45114.0,34523.0,10550.0,16359.0,4867.0,,Critical: Immediate spending review needed. Focus on necessities.
103122.0,,,5862.0,9091.0,20691.0,Thriving,Excellent! Consider investments for growth.
,34618.0,26492.0,8095.0,12553.0,37501.0,Thriving,Excellent! Consider investments for growth.
93609.0,22756.0,17414.0,5321.0,8252.0,30950.0,Thriving,Excellent! Consider investments for growth.
193312.0,46995.0,35963.0,10989.0,17041.0,73262.0,Thriving,Excellent! Consider investments for growth.
61606.0,14976.0,11461.0,3502.0,5431.0,891.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
37633.0,9148.0,7001.0,2139.0,3317.0,12909.0,Thriving,Excellent! Consider investments for growth.
131888.0,32062.0,24536.0,7497.0,11626.0,28072.0,Thriving,Excellent! Consider investments for growth.
162194.0,,30174.0,9220.0,14298.0,11279.0,Stable,You're on track! Try to boost savings gradually.
37014.0,8998.0,6886.0,2104.0,3263.0,10769.0,Thriving,Excellent! Consider investments for growth.
,26948.0,20622.0,6301.0,9772.0,25815.0,,Excellent! Consider investments for growth.
177361.0,43117.0,32995.0,10083.0,15635.0,42618.0,Thriving,Excellent! Consider investments for growth.
172999.0,154256.0449331569,32184.0,9835.0,15251.0,57293.0,Thriving,Excellent! Consider investments for growth.
52779.0,12830.0,9818.0,3000.0,4652.0,14238.0,Thriving,Excellent! Consider investments for growth.
132181.0,32133.0,24590.0,,11652.0,46568.0,Thriving,Excellent! Consider investments for growth.
40074.0,9742.0,7455.0,2278.0,3532.0,12717.0,Thriving,Excellent! Consider investments for growth.
82987.0,20174.0,15438.0,4717.0,7315.0,12014.0,Stable,You're on track! Try to boost savings gradually.
69377.0,16865.0,12906.0,3944.0,6116.0,24542.0,Thriving,Excellent! Consider investments for growth.
111007.0,,20651.0,6310.0,9786.0,37916.0,Thriving,Excellent! Consider investments for growth.
41357.0,10054.0,,,3645.0,1987.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
56631.0,13767.0,10535.0,3219.0,4992.0,13105.0,Thriving,Excellent! Consider investments for growth.
90271.0,21945.0,16793.0,5131.0,7958.0,31104.0,Thriving,Excellent! Consider investments for growth.
144343.0,35090.0,26853.0,8205.0,12724.0,,At Risk,Critical: Immediate spending review needed. Focus on necessities.
198376.0,48226.0,,11277.0,17488.0,69220.0,Thriving,Excellent! Consider investments for growth.
121358.0,29502.0,22577.0,6899.0,10698.0,27858.0,Thriving,Excellent! Consider investments for growth.
161214.0,39192.0,29991.0,9165.0,14212.0,52853.0,Thriving,Excellent! Consider investments for growth.
20404.0,4960.0,3795.0,1159.0,1798.0,59.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
62913.0,15294.0,11704.0,3576.0,5546.0,11795.0,Stable,You're on track! Try to boost savings gradually.
84435.0,20526.0,15708.0,4800.0,,23871.0,Thriving,Excellent! Consider investments for growth.
198998.0,48377.0,37021.0,11313.0,17543.0,25502.0,Stable,You're on track! Try to boost savings gradually.
169381.0,41177.0,31511.0,9629.0,14932.0,64047.0,Thriving,Excellent! Consider investments for growth.
91947.0,22352.0,17105.0,5227.0,8105.0,32250.0,Thriving,Excellent! Consider investments for growth.
167979.0,40836.0,31250.0,9549.0,,,At Risk,Critical: Immediate spending review needed. Focus on necessities.
106269.0,25834.0,19770.0,6041.0,9368.0,15535.0,,You're on track! Try to boost savings gradually.
,32709.0,25031.0,7649.0,11861.0,38905.0,Thriving,Excellent! Consider investments for growth.
86912.0,21128.0,16168.0,4940.0,7661.0,27537.0,Thriving,Excellent! Consider investments for growth.
121376.0,29507.0,22580.0,6900.0,10700.0,42290.0,Thriving,Excellent! Consider investments for growth.
147659.0,35896.0,27470.0,8394.0,13017.0,,Thriving,Excellent! Consider investments for growth.
40932.0,9950.0,7614.0,2327.0,3608.0,1634.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
196048.0,47660.0,36472.0,11145.0,17283.0,,Thriving,Excellent! Consider investments for growth.
198148.0,48170.0,36863.0,11264.0,17468.0,75443.0,Thriving,Excellent! Consider investments for growth.
113468.0,27584.0,21109.0,,10003.0,25856.0,Thriving,Excellent! Consider investments for growth.
187469.0,45574.0,34876.0,10657.0,16526.0,59891.0,Thriving,Excellent! Consider investments for growth.
95388.0,23189.0,17745.0,5422.0,8409.0,22960.0,Thriving,Excellent! Consider investments for growth.
,13272.0,10156.0,3103.0,4812.0,20499.0,Thriving,Excellent! Consider investments for growth.
103186.0,25085.0,,5866.0,9096.0,31951.0,Thriving,Excellent! Consider investments for growth.
110536.0,26871.0,,6284.0,9744.0,613.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
199402.0,164696.0485073859,,11336.0,17578.0,13634.0,Stable,You're on track! Try to boost savings gradually.
165361.0,40200.0,30763.0,9400.0,14577.0,52279.0,Thriving,Excellent! Consider investments for growth.
185268.0,45039.0,34466.0,10532.0,16332.0,56376.0,Thriving,Excellent! Consider investments for growth.
134099.0,32600.0,,7623.0,11821.0,,At Risk,Critical: Immediate spending review needed. Focus on necessities.
83133.0,,15465.0,4726.0,7328.0,15170.0,Stable,You're on track! Try to boost savings gradually.
27392.0,6659.0,5095.0,1557.0,2414.0,6217.0,Thriving,Excellent! Consider investments for growth.
145932.0,35476.0,27148.0,8296.0,12865.0,47828.0,Thriving,Excellent! Consider investments for growth.
41959.0,10200.0,7805.0,2385.0,3699.0,14752.0,,Excellent! Consider investments for growth.
106416.0,25870.0,19797.0,6049.0,9381.0,,Thriving,Excellent! Consider investments for growth.
98258.0,23887.0,18279.0,5586.0,8662.0,31280.0,Thriving,Excellent! Consider investments for growth.
60774.0,14774.0,11306.0,3455.0,5357.0,13208.0,Thriving,Excellent! Consider investments for growth.
122665.0,29820.0,22820.0,6973.0,10813.0,16388.0,Stable,You're on track! Try to boost savings gradually.
48732.0,11847.0,9065.0,2770.0,4296.0,14016.0,Thriving,Excellent! Consider investments for growth.
32183.0,7823.0,5987.0,1829.0,2837.0,10012.0,Thriving,Excellent! Consider investments for growth.
176222.0,42840.0,32783.0,10018.0,15535.0,39991.0,Thriving,Excellent! Consider investments for growth.
31302.0,7609.0,5823.0,1779.0,2759.0,8749.0,Thriving,Excellent! Consider investments for growth.
187658.0,45620.0,34911.0,10668.0,16543.0,45877.0,Thriving,Excellent! Consider investments for growth.
91726.0,22299.0,17064.0,5214.0,8086.0,134403.136219803,Thriving,Excellent! Consider investments for growth.
129777.0,31549.0,24143.0,7377.0,11440.0,47226.0,Thriving,Excellent! Consider investments for growth.
84429.0,20525.0,15706.0,4799.0,,3465.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
182552.0,44379.0,33961.0,10378.0,16093.0,53402.0,Thriving,Excellent! Consider investments for growth.
199997.0,48620.0,37206.0,,17631.0,63863.0,Thriving,Excellent! Consider investments for growth.
31536.0,7666.0,5866.0,1792.0,2780.0,,Thriving,Excellent! Consider investments for growth.
56035.0,13622.0,10424.0,3185.0,4939.0,18265.0,Thriving,Excellent! Consider investments for growth.
40953.0,9955.0,7618.0,2328.0,,15208.0,Thriving,Excellent! Consider investments for growth.
142732.0,34699.0,26553.0,8114.0,12582.0,21621.0,Stable,You're on track! Try to boost savings gradually.
110272.0,26807.0,20514.0,6269.0,9721.0,37142.0,,Excellent! Consider investments for growth.
164701.0,40039.0,30640.0,9363.0,14519.0,24407.0,Stable,You're on track! Try to boost savings gradually.
40095.0,9747.0,7459.0,2279.0,3534.0,10207.0,Thriving,Excellent! Consider investments for growth.
138865.0,33758.0,25834.0,7894.0,,3826.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
82292.0,20005.0,15309.0,4678.0,7254.0,30155.0,Thriving,Excellent! Consider investments for growth.
197953.0,48123.0,36826.0,11253.0,17451.0,1501.0,At Risk,Critical: Immediate spending review needed. Focus on necessities.
180196.0,43806.0,33523.0,10244.0,15885.0,69761.0,Thriving,Excellent! Consider investments for growth.
179476.0,43631.0,33389.0,10203.0,15822.0,29317.0,,You're on track! Try to boost savings gradually.
92303.0,22439.0,17171.0,5247.0,8137.0,10937.0,Stable,You're on track! Try to boost savings gradually.
137796.0,33499.0,25635.0,7833.0,12147.0,46708.0,Thriving,Excellent! Consider investments for growth.
85155.0,20701.0,15842.0,4841.0,7507.0,18019.0,Thriving,Excellent! Consider investments for growth.
112241.0,27286.0,20881.0,6380.0,9894.0,25283.0,Thriving,Excellent! Consider investments for growth.
40159.0,9762.0,,2283.0,3540.0,13018.0,Thriving,Excellent! Consider investments for growth.
170273.0,41394.0,31677.0,9680.0,15010.0,56743.0,Thriving,Excellent! Consider investments for growth.
147734.0,35915.0,27484.0,8398.0,13023.0,39848.0,Thriving,Excellent! Consider investments for growth.
102711.0,24969.0,19108.0,5839.0,9054.0,27239.0,Thriving,Excellent! Consider investments for growth.
196830.0,47850.0,36617.0,11189.0,17352.0,56520.0,Thriving,Excellent! Consider investments for growth.
133824.0,32533.0,24896.0,7607.0,11797.0,31556.0,Thriving,Excellent! Consider investments for growth.
180878.0,43972.0,33650.0,10283.0,15945.0,210327.8812926175,Thriving,Excellent! Consider investments for growth.
76492.0,18595.0,,4348.0,6743.0,20912.0,Thriving,Excellent! Consider investments for growth.
144302.0,35080.0,26845.0,8203.0,12721.0,51568.0,Thriving,Excellent! Consider investments for growth.
49257.0,11974.0,9163.0,2800.0,4342.0,10143.0,Thriving,Excellent! Consider investments for growth.
150330.0,36546.0,27967.0,8546.0,13252.0,,Stable,You're on track! Try to boost savings gradually.
70612.0,17166.0,13136.0,,6224.0,6306.0,Stable,You're on track! Try to boost savings gradually.
102745.0,24977.0,19114.0,5841.0,9057.0,35264.0,Thriving,Excellent! Consider investments for growth.
190515.0,46315.0,35442.0,10830.0,16795.0,280094.7498961766,At Risk,Critical: Immediate spending review needed. Focus on necessities.
136352.0,33147.0,25366.0,7751.0,12020.0,27209.0,Stable,You're on track! Try to boost savings gradually.
117945.0,28673.0,21942.0,6705.0,10397.0,39373.0,Thriving,Excellent! Consider investments for growth.
68874.0,16743.0,12813.0,3915.0,6071.0,13260.0,Stable,You're on track! Try to boost savings gradually.
130989.0,31844.0,24368.0,7446.0,11547.0,14565.0,Stable,You're on track! Try to boost savings gradually.
59071.0,14360.0,10989.0,3358.0,5207.0,17910.0,Thriving,Excellent! Consider investments for growth.
28666.0,6968.0,5332.0,1629.0,2527.0,9365.0,Thriving,Excellent! Consider investments for growth.
95353.0,23180.0,17739.0,5420.0,8406.0,9814.0,Stable,You're on track! Try to boost savings gradually.
87203.0,21199.0,16223.0,4957.0,7687.0,21624.0,Thriving,Excellent! Consider investments for growth.
151132.0,36741.0,,8591.0,13323.0,42899.0,Thriving,Excellent! Consider investments for growth.
40609.0,9872.0,7554.0,2308.0,,12365.0,Thriving,Excellent! Consider investments for growth.
